iter	RMSE
0	62176.01959
1	61294.29316
2	60460.5455
3	59705.33022
4	58980.04706
5	58327.58018
6	57724.23788
7	57161.66809
8	56681.25455
9	56200.68657
10	55744.61373
11	55383.5513
12	54833.86263
13	54383.64693
14	53928.71233
15	53525.67644
16	53081.33573
17	52671.38748
18	52312.29669
19	51910.53604
20	51576.47855
21	51246.2051
22	50907.73801
23	50625.05232
24	50357.58315
25	50114.8556
26	49843.48324
27	49682.59732
28	49475.69852
29	49286.50336
30	49117.66423
31	48938.23578
32	48770.84199
33	48636.17795
34	48489.49566
35	48337.87678
36	48188.22989
37	48113.57878
38	48034.45201
39	47885.13135
40	47735.73026
41	47626.47372
42	47504.91252
43	47364.37389
44	47264.27854
45	47152.79482
46	47066.06082
47	47039.57697
48	46938.4596
49	46819.55124
50	46713.59922
51	46615.62177
52	46565.09829
53	46494.17557
54	46470.61054
55	46414.24455
56	46356.07654
57	46267.59493
58	46215.0784
59	46166.29238
60	46080.91211
61	46034.18953
62	45974.52417
63	45912.54189
64	45883.29772
65	45822.8287
66	45775.51281
67	45703.77973
68	45669.80245
69	45638.90683
70	45589.50909
71	45549.24614
72	45507.15654
73	45469.81357
74	45428.17549
75	45339.46206
76	45299.53379
77	45257.0793
78	45218.43959
79	45192.15138
80	45137.37896
81	45097.17161
82	45022.82755
83	44984.82622
84	44944.75916
85	44879.49458
86	44860.76602
87	44824.6274
88	44789.68423
89	44770.33113
90	44748.75069
91	44721.39902
92	44702.55474
93	44675.3294
94	44664.67051
95	44597.654
96	44575.48052
97	44531.12954
98	44471.48799
99	44452.78277
100	44416.87265
101	44395.17511
102	44383.45877
103	44381.81813
104	44334.30093
105	44328.94541
106	44310.51915
107	44310.49846
108	44253.32568
109	44228.70863
110	44212.22513
111	44156.35938
112	44155.42022
113	44147.87373
114	44123.69298
115	44092.74211
116	44092.71211
117	44058.77042
118	44043.0206
119	44004.6058
120	43986.84515
121	43980.4247
122	43962.85263
123	43947.03808
124	43931.58007
125	43888.68878
126	43874.63186
127	43869.79963
128	43837.39609
129	43818.43969
130	43805.49354
131	43783.775
132	43757.49657
133	43754.42633
134	43723.18301
135	43697.23323
136	43681.00371
137	43664.37988
138	43655.51922
139	43651.96447
140	43637.12455
141	43612.66227
142	43607.26048
143	43606.38941
144	43579.99317
145	43557.95693
146	43543.7206
147	43540.15888
148	43494.01809
149	43493.92293
150	43470.91334
151	43448.40216
152	43434.84403
153	43416.05318
