iter	Passed	Remaining
0	34	3462
1	83	4103
2	108	3507
3	150	3613
4	187	3571
5	221	3473
6	238	3172
7	257	2956
8	267	2701
9	277	2498
10	322	2611
11	351	2577
12	380	2544
13	390	2398
14	439	2490
15	478	2511
16	531	2594
17	583	2656
18	623	2658
19	662	2651
20	705	2653
21	747	2648
22	785	2628
23	824	2610
24	861	2583
25	903	2570
26	961	2598
27	991	2550
28	1049	2569
29	1104	2577
30	1145	2550
31	1184	2517
32	1225	2488
33	1264	2453
34	1301	2416
35	1339	2380
36	1375	2342
37	1412	2304
38	1450	2268
39	1497	2246
40	1535	2209
41	1572	2171
42	1612	2137
43	1653	2104
44	1691	2066
45	1727	2027
46	1767	1993
47	1811	1962
48	1852	1928
49	1892	1892
50	1934	1858
51	1976	1824
52	2016	1788
53	2043	1740
54	2061	1686
55	2135	1677
56	2211	1668
57	2275	1647
58	2321	1613
59	2362	1575
60	2405	1537
61	2452	1503
62	2501	1469
63	2574	1448
64	2643	1423
65	2729	1406
66	2778	1368
67	2848	1340
68	2902	1303
69	2956	1266
70	3031	1238
71	3078	1197
72	3125	1156
73	3169	1113
74	3215	1071
75	3259	1029
76	3318	991
77	3430	967
78	3528	937
79	3627	906
80	3774	885
81	3833	841
82	3881	794
83	3922	747
84	3964	699
85	4006	652
86	4046	604
87	4086	557
88	4126	509
89	4169	463
90	4209	416
91	4247	369
92	4287	322
93	4327	276
94	4403	231
95	4444	185
96	4481	138
97	4521	92
98	4558	46
99	4599	0
